"model","nuc","r","rsquare","RMSE","MAE"
1,"H","0.978502282838304","0.957466717519773","0.25997171791879","0.155588235294118"
2,"H","0.967983810405235","0.936992657206637","0.318479845146763","0.207941176470588"
3,"H","0.971814719537765","0.944423849110265","0.30124008404476","0.199264705882353"
4,"H","0.959605589991457","0.920842888342852","0.354730635171833","0.215735294117647"
5,"H","0.970208101197079","0.941303759628441","0.30788653372153","0.200882352941176"
6,"H","0.961518366596741","0.924517569302864","0.34610012152215","0.226764705882353"
7,"H","0.965830051813388","0.932827688985851","0.328620109656406","0.211470588235294"
8,"H","0.961510234669235","0.924501931373688","0.346410161513775","0.219411764705882"
9,"H","0.971705107459356","0.944210815862599","0.300418825289354","0.186911764705882"
10,"H","0.969282596050332","0.939508751006072","0.312997838744653","0.205588235294118"
11,"H","0.973272313245827","0.947258995730884","0.29246668990824","0.188970588235294"
