iters cors rmsds mean_rmsd id status
1 1000 0.523809523809524 0 3.11766666666667 1ZC5 TRUE
2 2000 0.523809523809524 1.013 0.955 1ZC5 TRUE
3 3000 0.390476190476191 0 2.50666666666667 1ZC5 TRUE
4 4000 0.40952380952381 0 2.50666666666667 1ZC5 TRUE
5 5000 0.2 0 2.50666666666667 1ZC5 TRUE
6 6000 0.466666666666667 1.013 2.50666666666667 1ZC5 TRUE
7 7000 0.40952380952381 1.013 2.50666666666667 1ZC5 TRUE
8 8000 0.428571428571429 1.013 0.955 1ZC5 TRUE
9 9000 0.466666666666667 1.013 0.955 1ZC5 TRUE
10 10000 0.523809523809524 1.013 2.50666666666667 1ZC5 TRUE
11 1000 0.384615384615385 0 1.45633333333333 2LUN TRUE
12 2000 0.384615384615385 0 1.45633333333333 2LUN TRUE
13 3000 0.384615384615385 0 2.92966666666667 2LUN TRUE
14 4000 0.230769230769231 0 2.92966666666667 2LUN TRUE
15 5000 0.516483516483517 0 1.45633333333333 2LUN TRUE
16 6000 0.208791208791209 2.589 1.45633333333333 2LUN TRUE
17 7000 0.428571428571429 2.589 1.45633333333333 2LUN TRUE
18 8000 0.406593406593407 2.589 1.45633333333333 2LUN TRUE
19 9000 0.340659340659341 2.589 1.45633333333333 2LUN TRUE
20 10000 0.450549450549451 2.589 1.45633333333333 2LUN TRUE
21 1000 0 2.404 2.74766666666667 2M4W TRUE
22 2000 0 2.404 2.74766666666667 2M4W TRUE
23 3000 0 3.916 2.74766666666667 2M4W FALSE
24 4000 0 2.404 2.74766666666667 2M4W TRUE
25 5000 0.102564102564103 2.404 2.74766666666667 2M4W TRUE
26 6000 0.0769230769230769 2.404 2.74766666666667 2M4W TRUE
27 7000 0.0512820512820513 2.404 2.74766666666667 2M4W TRUE
28 8000 -0.0512820512820513 2.404 2.74766666666667 2M4W TRUE
29 9000 -0.0512820512820513 2.404 2.74766666666667 2M4W TRUE
30 10000 0 2.404 2.74766666666667 2M4W TRUE
