iters cors rmsds mean_rmsd id status
10 10000 0.447619047619048 1.013 0.955 1ZC5 TRUE
20 10000 0.340659340659341 7.009 3.79266666666667 2LUN FALSE
30 10000 0.41025641025641 0.482 0.481666666666667 2M4W TRUE
40 10000 0.296703296703297 0 2.55566666666667 2MNC TRUE
50 10000 0.238095238095238 3.122 3.90333333333333 2N6T FALSE
60 10000 0.295238095238095 4.358 3.113 2M5U FALSE
70 10000 0.485714285714286 4.237 4.007 2MXL FALSE
80 10000 0.161904761904762 2.836 4.35966666666667 2N6W TRUE
90 10000 0.252747252747253 0.967 4.20466666666667 2NCI TRUE
110 10000 0.104761904761905 10.112 6.45333333333333 2JWV FALSE
120 10000 -0.142857142857143 3.663 4.78766666666667 2M12 FALSE
130 10000 0.272727272727273 12.786 5.56 2M8K FALSE
140 10000 0.428571428571429 3.817 2.23266666666667 2N2O FALSE
150 10000 -0.0857142857142857 9.902 14.553 2N6X FALSE
160 10000 0.104761904761905 3.323 4.39933333333333 2QH2 FALSE
170 10000 -0.0285714285714286 5.936 8.85866666666667 5A17 FALSE
180 10000 0.561904761904762 4.351 3.673 1XHP FALSE
190 10000 0.0857142857142857 8.027 5.56166666666667 2K66 FALSE
200 10000 0.0989010989010989 4.341 4.917 2LQZ FALSE
210 10000 0.0476190476190476 6.23 4.80033333333333 2M21 FALSE
220 10000 0.142857142857143 6.916 3.05666666666667 2MEQ FALSE
230 10000 0.352380952380952 2.912 2.92766666666667 2N2P TRUE
240 10000 -0.161904761904762 10.16 6.27833333333333 2N7X FALSE
250 10000 0.523809523809524 0.661 3.48933333333333 2QH4 TRUE
260 10000 0.2 1.989 7.98266666666667 5A18 TRUE
270 10000 0.676190476190476 1.428 0.721333333333333 2M22 TRUE
280 10000 0.352380952380952 1.627 2.71333333333333 2MFD TRUE
290 10000 0.466666666666667 0 2.48733333333333 2N4L TRUE
300 10000 0.384615384615385 2.68 1.83266666666667 5KQE TRUE
310 10000 0.428571428571429 2.17 0.957333333333333 1KKA TRUE
330 10000 0.0285714285714286 11.727 7.81466666666667 2LI4 FALSE
340 10000 0.466666666666667 2.827 1.57066666666667 2LUB TRUE
350 10000 -0.333333333333333 9.062 7.32933333333333 4A4S FALSE
360 10000 -0.352380952380952 9.953 8.76466666666667 1L1W FALSE
380 10000 0.485714285714286 0 2.05966666666667 2LBJ TRUE
390 10000 0.00952380952380952 4.756 4.99566666666667 2LK3 FALSE
400 10000 -0.512820512820513 9.599 7.333 4A4T FALSE
420 10000 0.238095238095238 10.76 4.185 2FDT FALSE
430 10000 0.638095238095238 1.415 1.29266666666667 2LBL TRUE
440 10000 0.371428571428571 0.62 0.567 2LP9 TRUE
450 10000 0.638095238095238 0 1.54933333333333 2LV0 TRUE
460 10000 -0.153846153846154 9.347 7.66233333333333 4A4U FALSE
490 10000 0.371428571428571 0 1.08433333333333 2LPA TRUE
510 10000 0.0476190476190476 2.661 4.57166666666667 2LDT TRUE
550 10000 0.523809523809524 1.839 1.82233333333333 2LHP TRUE
560 10000 0.516483516483517 0.505 0.975333333333333 2Y95 TRUE
570 10000 0.406593406593407 0 2.36233333333333 1SCL TRUE
600 10000 0.104761904761905 2.091 3.77966666666667 2M24 TRUE
610 10000 0.381818181818182 2.732 6.82566666666667 2MHI TRUE
620 10000 -0.0857142857142857 0 7.59466666666667 2N6S TRUE
