iters cors rmsds mean_rmsd id status
10 10000 0.504761904761905 0 0.955 1ZC5 TRUE
20 10000 0.208791208791209 8.677 6.67533333333333 2LUN FALSE
30 10000 0.230769230769231 0.963 0.963 2M4W TRUE
40 10000 0.032967032967033 7.108 3.04666666666667 2MNC FALSE
50 10000 0.142857142857143 6.16 6.107 2N6T FALSE
60 10000 0.0476190476190476 6.903 4.59166666666667 2M5U FALSE
70 10000 0.504761904761905 4.237 4.007 2MXL FALSE
80 10000 -0.371428571428571 18.516 15.174 2N6W FALSE
90 10000 0.318681318681319 1.712 0.893 2NCI TRUE
110 10000 -0.238095238095238 8.288 6.76733333333333 2JWV FALSE
120 10000 -0.238095238095238 10.002 8.80466666666667 2M12 FALSE
130 10000 0.418181818181818 2.566 5.56 2M8K TRUE
140 10000 0.371428571428571 1.535 2.67466666666667 2N2O TRUE
150 10000 0.104761904761905 18.282 6.70833333333333 2N6X FALSE
160 10000 0.123809523809524 2.457 3.30466666666667 2QH2 TRUE
170 10000 -0.0857142857142857 6.886 8.67366666666667 5A17 FALSE
180 10000 0.561904761904762 1.664 3.11366666666667 1XHP TRUE
190 10000 0.0666666666666667 0 3.11966666666667 2K66 TRUE
200 10000 0.010989010989011 8.799 6.78166666666667 2LQZ FALSE
210 10000 0.161904761904762 2.486 3.98133333333333 2M21 TRUE
220 10000 0.142857142857143 0 4.837 2MEQ TRUE
230 10000 0.40952380952381 2.05 4.08233333333333 2N2P TRUE
240 10000 0.485714285714286 0.781 2.18833333333333 2N7X TRUE
250 10000 0.276190476190476 2.613 5.011 2QH4 TRUE
260 10000 0.142857142857143 8.956 7.98266666666667 5A18 FALSE
270 10000 0.142857142857143 1.428 4.53266666666667 2M22 TRUE
280 10000 -0.0476190476190476 4.345 2.71333333333333 2MFD FALSE
290 10000 0.123809523809524 0 6.199 2N4L TRUE
300 10000 -0.128205128205128 2.68 8.074 5KQE TRUE
310 10000 0.00952380952380952 3.798 4.534 1KKA FALSE
330 10000 -0.180952380952381 6.309 9.616 2LI4 FALSE
340 10000 0.219047619047619 1.277 5.473 2LUB TRUE
350 10000 -0.282051282051282 9.062 7.32933333333333 4A4S FALSE
360 10000 -0.504761904761905 9.953 9.06266666666667 1L1W FALSE
380 10000 0.40952380952381 1.764 3.54866666666667 2LBJ TRUE
390 10000 0.123809523809524 4.756 4.072 2LK3 FALSE
400 10000 -0.256410256410256 4.12 6.404 4A4T FALSE
420 10000 0.161904761904762 10.76 5.088 2FDT FALSE
430 10000 0.314285714285714 2.463 1.91066666666667 2LBL TRUE
440 10000 0.238095238095238 0 2.62733333333333 2LP9 TRUE
450 10000 0.6 3.028 1.29766666666667 2LV0 FALSE
460 10000 -0.128205128205128 9.347 8.62033333333333 4A4U FALSE
490 10000 -0.0476190476190476 3.651 4.52833333333333 2LPA FALSE
510 10000 -0.276190476190476 2.661 6.65033333333333 2LDT TRUE
550 10000 0.123809523809524 11.649 4.496 2LHP FALSE
560 10000 0.626373626373626 0 1.29066666666667 2Y95 TRUE
570 10000 0.56043956043956 0 3.25666666666667 1SCL TRUE
600 10000 0.276190476190476 0.877 3.77966666666667 2M24 TRUE
610 10000 0.236363636363636 2.732 5.05666666666667 2MHI TRUE
620 10000 -0.104761904761905 0 6.995 2N6S TRUE
