iters cors rmsds mean_rmsd id status
1 1000 0.390476190476191 0 2.209 1ZC5 TRUE
2 2000 0.276190476190476 0 3.99766666666667 1ZC5 TRUE
3 3000 0.40952380952381 0 3.99766666666667 1ZC5 TRUE
4 4000 0.466666666666667 1.013 2.812 1ZC5 TRUE
5 5000 0.352380952380952 0 1.861 1ZC5 TRUE
6 6000 0.371428571428571 7.423 3.99766666666667 1ZC5 FALSE
7 7000 0.428571428571429 0 3.99766666666667 1ZC5 TRUE
8 8000 0.40952380952381 4.57 3.99766666666667 1ZC5 FALSE
9 9000 0.40952380952381 4.57 3.39466666666667 1ZC5 FALSE
10 10000 0.504761904761905 0 1.861 1ZC5 TRUE
11 1000 0.186813186813187 1.78 6.06866666666667 2LUN TRUE
12 2000 0.164835164835165 8.677 5.506 2LUN FALSE
13 3000 0.274725274725275 4.333 4.93 2LUN FALSE
14 4000 0.362637362637363 8.677 4.93 2LUN FALSE
15 5000 0.406593406593407 2.589 4.34866666666667 2LUN TRUE
16 6000 0.538461538461538 1.78 2.90066666666667 2LUN TRUE
17 7000 0.428571428571429 4.333 3.47666666666667 2LUN FALSE
18 8000 0.450549450549451 2.589 4.92466666666667 2LUN TRUE
19 9000 0.450549450549451 2.589 3.47666666666667 2LUN TRUE
20 10000 0.428571428571429 2.589 3.47666666666667 2LUN TRUE
21 1000 0 0.963 1.44333333333333 2M4W TRUE
22 2000 0.0769230769230769 0.963 1.44333333333333 2M4W TRUE
23 3000 0.102564102564103 0.963 0.963 2M4W TRUE
24 4000 0.0769230769230769 0.963 2.85333333333333 2M4W TRUE
25 5000 0.230769230769231 0.963 0.963 2M4W TRUE
26 6000 0.153846153846154 0.963 0.963 2M4W TRUE
27 7000 0.205128205128205 0.963 2.85333333333333 2M4W TRUE
28 8000 0.230769230769231 0.963 0.963 2M4W TRUE
29 9000 0.205128205128205 0.963 0.963 2M4W TRUE
30 10000 0.179487179487179 0.963 1.44333333333333 2M4W TRUE
31 1000 -0.0555589852284023 2.538 5.09366666666667 2MNC TRUE
32 2000 -0.0777825793197632 6.611 5.25033333333333 2MNC FALSE
33 3000 -0.144453361593846 1.526 5.08166666666667 2MNC TRUE
34 4000 0.0333353911370414 7.108 3.564 2MNC FALSE
35 5000 -0.296703296703297 7.108 5.08166666666667 2MNC FALSE
36 6000 -0.309396987261505 5.635 4.08466666666667 2MNC FALSE
37 7000 -0.464095480892257 6.611 5.443 2MNC FALSE
38 8000 -0.23334773795929 1.271 3.98766666666667 2MNC TRUE
39 9000 -0.154698493630752 5.635 4.67133333333333 2MNC FALSE
40 10000 -0.406593406593407 7.108 5.44233333333333 2MNC FALSE
41 1000 -0.123809523809524 3.122 9.11766666666667 2N6T FALSE
42 2000 -0.238095238095238 6.16 8.471 2N6T FALSE
43 3000 0.0285714285714286 6.16 8.10166666666667 2N6T FALSE
44 4000 -0.257142857142857 10.08 9.10866666666667 2N6T FALSE
45 5000 0.00952380952380952 6.16 6.454 2N6T FALSE
46 6000 -0.314285714285714 14.151 8.45366666666667 2N6T FALSE
47 7000 -0.104761904761905 6.16 9.46633333333333 2N6T FALSE
48 8000 -0.276190476190476 3.122 7.811 2N6T FALSE
49 9000 -0.276190476190476 3.122 9.78933333333333 2N6T FALSE
50 10000 -0.352380952380952 3.122 9.78933333333333 2N6T FALSE
51 1000 0.352380952380952 0 2.496 2M5U TRUE
52 2000 0.295238095238095 1.865 3.11766666666667 2M5U TRUE
53 3000 0.257142857142857 1.865 0.837333333333333 2M5U TRUE
54 4000 0.238095238095238 1.865 3.52566666666667 2M5U TRUE
55 5000 0.180952380952381 2.487 3.52566666666667 2M5U TRUE
56 6000 0.142857142857143 1.865 2.69666666666667 2M5U TRUE
57 7000 0.104761904761905 1.865 2.69666666666667 2M5U TRUE
58 8000 0.0285714285714286 6.225 5.40666666666667 2M5U FALSE
59 9000 0.0857142857142857 1.865 2.69666666666667 2M5U TRUE
