iters cors rmsds mean_rmsd id status
1 1000 0.733333333333333 0 0.955 1ZC5 TRUE
2 2000 0.638095238095238 0 0.955 1ZC5 TRUE
3 3000 0.523809523809524 0 0.955 1ZC5 TRUE
4 4000 0.695238095238095 0 0.955 1ZC5 TRUE
5 5000 0.619047619047619 1.013 2.209 1ZC5 TRUE
6 6000 0.523809523809524 1.013 0.955 1ZC5 TRUE
7 7000 0.733333333333333 0 0.955 1ZC5 TRUE
8 8000 0.6 0 0.955 1ZC5 TRUE
9 9000 0.580952380952381 1.013 0.955 1ZC5 TRUE
10 10000 0.6 1.013 0.955 1ZC5 TRUE
11 1000 0.318681318681319 7.009 3.79266666666667 2LUN FALSE
12 2000 0.318681318681319 7.009 3.79266666666667 2LUN FALSE
13 3000 0.362637362637363 7.009 3.79266666666667 2LUN FALSE
14 4000 0.384615384615385 7.009 3.79266666666667 2LUN FALSE
15 5000 0.406593406593407 7.009 3.79266666666667 2LUN FALSE
16 6000 0.384615384615385 7.009 3.79266666666667 2LUN FALSE
17 7000 0.362637362637363 7.009 3.79266666666667 2LUN FALSE
18 8000 0.362637362637363 7.009 3.79266666666667 2LUN FALSE
19 9000 0.362637362637363 7.009 3.79266666666667 2LUN FALSE
20 10000 0.340659340659341 7.009 3.79266666666667 2LUN FALSE
21 1000 0.282051282051282 0.482 1.787 2M4W TRUE
22 2000 0.230769230769231 0.482 1.787 2M4W TRUE
23 3000 0.256410256410256 0.482 1.787 2M4W TRUE
24 4000 0.282051282051282 0.482 1.787 2M4W TRUE
25 5000 0.282051282051282 0.482 1.787 2M4W TRUE
26 6000 0.282051282051282 0.482 1.787 2M4W TRUE
27 7000 0.333333333333333 0.482 1.787 2M4W TRUE
28 8000 0.282051282051282 0.482 1.787 2M4W TRUE
29 9000 0.282051282051282 0.482 1.787 2M4W TRUE
30 10000 0.307692307692308 0.482 1.787 2M4W TRUE
31 1000 0.186813186813187 0 3.23933333333333 2MNC TRUE
32 2000 0.274725274725275 0 3.23933333333333 2MNC TRUE
33 3000 0.384615384615385 0 2.387 2MNC TRUE
34 4000 0.362637362637363 0 2.387 2MNC TRUE
35 5000 0.274725274725275 0 2.387 2MNC TRUE
36 6000 0.296703296703297 0 2.387 2MNC TRUE
37 7000 0.318681318681319 0 2.387 2MNC TRUE
38 8000 0.252747252747253 0 2.387 2MNC TRUE
39 9000 0.208791208791209 0 2.387 2MNC TRUE
40 10000 0.274725274725275 0 2.387 2MNC TRUE
41 1000 0.161904761904762 4.087 5.099 2N6T FALSE
42 2000 0.219047619047619 4.087 6.77566666666667 2N6T FALSE
43 3000 0.314285714285714 4.087 6.11166666666667 2N6T FALSE
44 4000 0.238095238095238 4.087 6.11166666666667 2N6T FALSE
45 5000 0.314285714285714 4.087 5.099 2N6T FALSE
46 6000 0.352380952380952 4.087 5.099 2N6T FALSE
47 7000 0.352380952380952 4.087 5.099 2N6T FALSE
48 8000 0.314285714285714 4.087 5.099 2N6T FALSE
49 9000 0.314285714285714 4.087 5.099 2N6T FALSE
50 10000 0.352380952380952 4.087 4.45633333333333 2N6T FALSE
51 1000 0.428571428571429 4.358 3.113 2M5U FALSE
52 2000 0.485714285714286 4.358 2.49133333333333 2M5U FALSE
53 3000 0.40952380952381 4.358 3.113 2M5U FALSE
54 4000 0.466666666666667 4.358 2.49133333333333 2M5U FALSE
55 5000 0.485714285714286 4.358 2.91233333333333 2M5U FALSE
56 6000 0.542857142857143 4.358 3.113 2M5U FALSE
57 7000 0.504761904761905 4.358 3.113 2M5U FALSE
58 8000 0.466666666666667 4.358 3.113 2M5U FALSE
59 9000 0.447619047619048 4.358 3.113 2M5U FALSE
60 10000 0.561904761904762 4.358 2.707 2M5U FALSE
61 1000 0.695238095238095 3.024 1.367 2MXL FALSE
62 2000 0.657142857142857 0 1.367 2MXL TRUE
63 3000 0.580952380952381 4.237 3.35866666666667 2MXL FALSE
64 4000 0.619047619047619 3.024 2.95433333333333 2MXL FALSE
65 5000 0.676190476190476 3.024 2.01533333333333 2MXL FALSE
66 6000 0.657142857142857 0 2.42033333333333 2MXL TRUE
67 7000 0.6 3.024 2.42033333333333 2MXL FALSE
68 8000 0.619047619047619 3.024 2.95433333333333 2MXL FALSE
69 9000 0.619047619047619 3.024 2.42033333333333 2MXL FALSE
70 10000 0.619047619047619 4.237 3.06866666666667 2MXL FALSE
71 1000 0.40952380952381 8.621 4.35966666666667 2N6W FALSE
72 2000 0.428571428571429 8.621 4.35966666666667 2N6W FALSE
73 3000 0.40952380952381 6.502 5.98633333333333 2N6W FALSE
74 4000 0.390476190476191 6.502 5.98633333333333 2N6W FALSE
75 5000 0.352380952380952 6.502 5.98633333333333 2N6W FALSE
76 6000 0.390476190476191 6.502 5.98633333333333 2N6W FALSE
77 7000 0.40952380952381 6.502 5.98633333333333 2N6W FALSE
78 8000 0.40952380952381 6.502 5.98633333333333 2N6W FALSE
79 9000 0.40952380952381 6.502 5.98633333333333 2N6W FALSE
80 10000 0.428571428571429 8.621 4.35966666666667 2N6W FALSE
81 1000 0.252747252747253 0.967 5.332 2NCI TRUE
82 2000 0.318681318681319 0.967 5.332 2NCI TRUE
83 3000 0.318681318681319 0.967 5.332 2NCI TRUE
84 4000 0.296703296703297 0.967 5.332 2NCI TRUE
85 5000 0.318681318681319 0.967 5.332 2NCI TRUE
86 6000 0.318681318681319 0.967 5.332 2NCI TRUE
87 7000 0.296703296703297 0.967 5.332 2NCI TRUE
88 8000 0.340659340659341 0.967 5.332 2NCI TRUE
89 9000 0.318681318681319 0.967 5.332 2NCI TRUE
90 10000 0.296703296703297 0.967 5.332 2NCI TRUE
91 1000 0.466666666666667 0 0.662 1UUU TRUE
92 2000 0.485714285714286 0.734 0.662 1UUU TRUE
93 3000 0.466666666666667 0 0.662 1UUU TRUE
94 4000 0.466666666666667 0 0.662 1UUU TRUE
95 5000 0.466666666666667 0 0.662 1UUU TRUE
96 6000 0.466666666666667 0 0.662 1UUU TRUE
97 7000 0.466666666666667 0.734 0.662 1UUU TRUE
98 8000 0.466666666666667 0.734 0.662 1UUU TRUE
99 9000 0.466666666666667 0.734 0.662 1UUU TRUE
100 10000 0.447619047619048 0.734 0.662 1UUU TRUE
101 1000 0.276190476190476 10.112 3.69066666666667 2JWV FALSE
102 2000 0.238095238095238 0.96 3.69066666666667 2JWV TRUE
103 3000 0.123809523809524 10.112 5.54266666666667 2JWV FALSE
