iters cors rmsds mean_rmsd id status
10 10000 0.523809523809524 1.013 2.50666666666667 1ZC5 TRUE
20 10000 0.450549450549451 2.589 1.45633333333333 2LUN TRUE
30 10000 0 2.404 2.74766666666667 2M4W TRUE
40 10000 -0.274725274725275 5.093 4.91666666666667 2MNC FALSE
50 10000 0.561904761904762 3.122 1.55033333333333 2N6T FALSE
60 10000 0.561904761904762 4.358 2.707 2M5U FALSE
70 10000 0.561904761904762 3.024 2.42033333333333 2MXL FALSE
80 10000 0.542857142857143 2.836 5.98633333333333 2N6W TRUE
90 10000 0.472527472527473 2.478 2.84633333333333 2NCI TRUE
110 10000 0.40952380952381 0 3.69066666666667 2JWV TRUE
120 10000 0.561904761904762 0 0.808666666666667 2M12 TRUE
130 10000 0.309090909090909 2.566 8.10233333333333 2M8K TRUE
140 10000 0.561904761904762 3.817 2.72166666666667 2N2O FALSE
150 10000 0.466666666666667 6.883 6.20933333333333 2N6X FALSE
160 10000 0.333333333333333 4.134 3.294 2QH2 FALSE
170 10000 -0.0857142857142857 1.951 8.83433333333333 5A17 TRUE
180 10000 0.657142857142857 0 2.22266666666667 1XHP TRUE
190 10000 0.2 0.679 0.670333333333333 2K66 TRUE
200 10000 0.252747252747253 0 3.21133333333333 2LQZ TRUE
210 10000 0.542857142857143 1.335 0.717666666666667 2M21 TRUE
220 10000 0.276190476190476 2.762 1.672 2MEQ TRUE
230 10000 0.523809523809524 0 2.64033333333333 2N2P TRUE
240 10000 0.363640526116703 1.447 2.169 2N7X TRUE
250 10000 0.142857142857143 7.194 3.96866666666667 2QH4 FALSE
260 10000 -0.0857142857142857 0 5.305 5A18 TRUE
270 10000 0.447619047619048 1.428 0.721333333333333 2M22 TRUE
280 10000 0.523809523809524 4.878 2.34866666666667 2MFD FALSE
290 10000 0.676190476190476 0 2.48733333333333 2N4L TRUE
300 10000 0.435897435897436 1.827 1.50233333333333 5KQE TRUE
310 10000 0.352380952380952 0.702 0.957333333333333 1KKA TRUE
330 10000 0.314285714285714 11.727 5.71166666666667 2LI4 FALSE
340 10000 0.676190476190476 0 2.31033333333333 2LUB TRUE
350 10000 0 3.234 6.039 4A4S FALSE
360 10000 0.104761904761905 8.161 5.44733333333333 1L1W FALSE
380 10000 0.485714285714286 0.645 1.19666666666667 2LBJ TRUE
390 10000 -0.0857142857142857 8.09 5.21533333333333 2LK3 FALSE
400 10000 0.256410256410256 2.742 5.964 4A4T TRUE
420 10000 0.504761904761905 0.903 3.88766666666667 2FDT TRUE
430 10000 0.580952380952381 0 1.05533333333333 2LBL TRUE
440 10000 -0.2 5.967 6.21233333333333 2LP9 FALSE
450 10000 0.638095238095238 0 1.25966666666667 2LV0 TRUE
460 10000 -0.0769230769230769 3.588 6.70066666666667 4A4U FALSE
490 10000 0.371428571428571 0 0.475333333333333 2LPA TRUE
510 10000 0.447619047619048 7.146 5.047 2LDT FALSE
550 10000 0.504761904761905 0.93 1.82233333333333 2LHP TRUE
560 10000 0.648351648351648 0 0.813666666666667 2Y95 TRUE
570 10000 0.318681318681319 1.248 4.557 1SCL TRUE
600 10000 0.371428571428571 2.091 2.63566666666667 2M24 TRUE
610 10000 0.163636363636364 2.732 10.9716666666667 2MHI TRUE
620 10000 0.0476190476190476 0.923 1.83333333333333 2N6S TRUE
