iters cors rmsds mean_rmsd id status
10 10000 0.504761904761905 0 1.861 1ZC5 TRUE
20 10000 0.428571428571429 2.589 3.47666666666667 2LUN TRUE
30 10000 0.179487179487179 0.963 1.44333333333333 2M4W TRUE
40 10000 -0.406593406593407 7.108 5.44233333333333 2MNC FALSE
50 10000 -0.352380952380952 3.122 9.78933333333333 2N6T FALSE
60 10000 0.0666666666666667 0 4.97666666666667 2M5U TRUE
70 10000 0.276190476190476 0 2.70066666666667 2MXL TRUE
80 10000 0.276190476190476 2.836 4.86166666666667 2N6W TRUE
90 10000 -0.318681318681319 7.441 9.91733333333333 2NCI FALSE
110 10000 -0.295238095238095 8.288 8.297 2JWV FALSE
120 10000 0.219047619047619 0 4.04666666666667 2M12 TRUE
130 10000 0.0909090909090909 11.519 13.2113333333333 2M8K FALSE
140 10000 0.352380952380952 2.881 5.764 2N2O TRUE
150 10000 -0.180952380952381 18.282 14.092 2N6X FALSE
160 10000 0.466666666666667 1.648 3.57066666666667 2QH2 TRUE
170 10000 0.0285714285714286 13.754 8.16766666666667 5A17 FALSE
180 10000 0.00952380952380952 7.498 5.08133333333333 1XHP FALSE
190 10000 0.123809523809524 0 3.11966666666667 2K66 TRUE
200 10000 -0.164835164835165 5.604 6.51133333333333 2LQZ FALSE
210 10000 0.523809523809524 2.486 3.13166666666667 2M21 TRUE
220 10000 -0.142857142857143 8.981 6.44733333333333 2MEQ FALSE
230 10000 0.287084625881607 2.05 3.137 2N2P TRUE
240 10000 -0.256310064898589 6.514 6.51666666666667 2N7X FALSE
250 10000 0.523809523809524 1.956 1.523 2QH4 TRUE
260 10000 -0.0857142857142857 1.989 9.63933333333333 5A18 TRUE
270 10000 -0.238095238095238 7.212 7.17366666666667 2M22 FALSE
280 10000 -0.0666666666666667 4.345 4.16433333333333 2MFD FALSE
290 10000 0.619047619047619 0 2.15533333333333 2N4L TRUE
300 10000 0.205128205128205 10.703 6.88333333333333 5KQE FALSE
310 10000 0.485714285714286 1.628 1.5 1KKA TRUE
330 10000 0.180952380952381 10.812 5.208 2LI4 FALSE
340 10000 0.40952380952381 1.277 1.054 2LUB TRUE
350 10000 -0.230769230769231 8.508 7.14766666666667 4A4S FALSE
360 10000 -0.466666666666667 9.074 8.16733333333333 1L1W FALSE
380 10000 0.447619047619048 0.645 2.96533333333333 2LBJ TRUE
390 10000 0.0857142857142857 4.756 4.99566666666667 2LK3 FALSE
400 10000 0.333333333333333 4.821 3.56566666666667 4A4T FALSE
420 10000 0.390476190476191 1.795 2.40066666666667 2FDT TRUE
430 10000 0.238095238095238 4.317 2.90566666666667 2LBL FALSE
440 10000 -0.123809523809524 5.967 4.95 2LP9 FALSE
450 10000 0.542857142857143 1.512 2.566 2LV0 TRUE
460 10000 0.179487179487179 3.588 4.06766666666667 4A4U FALSE
490 10000 -0.104761904761905 5.033 3.199 2LPA FALSE
510 10000 -0.219047619047619 2.661 6.05566666666667 2LDT TRUE
550 10000 0.161904761904762 0.93 4.806 2LHP TRUE
560 10000 0.406593406593407 2.421 0.975333333333333 2Y95 TRUE
570 10000 0.472527472527473 1.248 1.30133333333333 1SCL TRUE
600 10000 0.390476190476191 2.848 2.88666666666667 2M24 TRUE
610 10000 -0.127272727272727 17.745 15.5443333333333 2MHI FALSE
620 10000 -0.104761904761905 0.923 3.95533333333333 2N6S TRUE
