iters cors rmsds mean_rmsd id status
10 10000 0.6 1.013 0.955 1ZC5 TRUE
20 10000 0.340659340659341 7.009 3.79266666666667 2LUN FALSE
30 10000 0.307692307692308 0.482 1.787 2M4W TRUE
40 10000 0.274725274725275 0 2.387 2MNC TRUE
50 10000 0.352380952380952 4.087 4.45633333333333 2N6T FALSE
60 10000 0.561904761904762 4.358 2.707 2M5U FALSE
70 10000 0.619047619047619 4.237 3.06866666666667 2MXL FALSE
80 10000 0.428571428571429 8.621 4.35966666666667 2N6W FALSE
90 10000 0.296703296703297 0.967 5.332 2NCI TRUE
110 10000 0.219047619047619 10.112 3.69066666666667 2JWV FALSE
120 10000 -0.0666666666666667 7.133 6.69166666666667 2M12 FALSE
130 10000 0.309090909090909 2.566 5.56 2M8K TRUE
140 10000 0.371428571428571 3.817 2.72166666666667 2N2O FALSE
150 10000 0.0857142857142857 9.902 9.93233333333333 2N6X FALSE
160 10000 -0.0285714285714286 3.323 4.39933333333333 2QH2 FALSE
170 10000 0.00952380952380952 6.886 8.67366666666667 5A17 FALSE
180 10000 0.542857142857143 5.004 3.11833333333333 1XHP FALSE
190 10000 0.142857142857143 8.027 2.902 2K66 FALSE
200 10000 0.142857142857143 4.341 4.917 2LQZ FALSE
210 10000 0.00952380952380952 1.335 4.80033333333333 2M21 TRUE
220 10000 0.238095238095238 6.916 2.56666666666667 2MEQ FALSE
230 10000 0.333333333333333 2.912 4.57066666666667 2N2P TRUE
240 10000 -0.00952380952380952 10.16 6.27833333333333 2N7X FALSE
250 10000 0.2 7.194 3.48933333333333 2QH4 FALSE
260 10000 0.238095238095238 1.989 4.67466666666667 5A18 TRUE
270 10000 0.676190476190476 1.428 0.721333333333333 2M22 TRUE
280 10000 0.257142857142857 4.345 2.71333333333333 2MFD FALSE
290 10000 0.447619047619048 0 5.007 2N4L TRUE
300 10000 0.615384615384615 1.827 0.939333333333333 5KQE TRUE
310 10000 0.428571428571429 0 0.957333333333333 1KKA TRUE
330 10000 0.2 11.727 7.81466666666667 2LI4 FALSE
340 10000 0.485714285714286 5.046 3.25266666666667 2LUB FALSE
350 10000 -0.179487179487179 9.062 7.32933333333333 4A4S FALSE
360 10000 -0.314285714285714 9.953 8.76466666666667 1L1W FALSE
380 10000 0.619047619047619 0.645 1.39133333333333 2LBJ TRUE
390 10000 0.0476190476190476 4.756 4.072 2LK3 FALSE
400 10000 -0.384615384615385 9.599 6.87366666666667 4A4T FALSE
420 10000 0.428571428571429 0 4.185 2FDT TRUE
430 10000 0.523809523809524 0 1.29266666666667 2LBL TRUE
440 10000 0.142857142857143 0.62 2.19566666666667 2LP9 TRUE
450 10000 0.695238095238095 0 1.54933333333333 2LV0 TRUE
460 10000 -0.307692307692308 9.347 7.66233333333333 4A4U FALSE
490 10000 0.40952380952381 0 0.779333333333333 2LPA TRUE
510 10000 0.2 2.661 4.883 2LDT TRUE
550 10000 0.523809523809524 0.93 4.80266666666667 2LHP TRUE
560 10000 0.648351648351648 0.505 0.975333333333333 2Y95 TRUE
570 10000 0.516483516483517 0 2.36233333333333 1SCL TRUE
600 10000 0.00952380952380952 8.371 5.583 2M24 FALSE
610 10000 0.454545454545455 2.732 4.25266666666667 2MHI TRUE
620 10000 -0.104761904761905 0 7.59466666666667 2N6S TRUE
