iters cors rmsds mean_rmsd id status
1 1000 0.40952380952381 1.013 2.209 1ZC5 TRUE
2 2000 0.352380952380952 0 3.99766666666667 1ZC5 TRUE
3 3000 0.333333333333333 0 4.30333333333333 1ZC5 TRUE
4 4000 0.428571428571429 0 3.99766666666667 1ZC5 TRUE
5 5000 0.276190476190476 0 1.861 1ZC5 TRUE
6 6000 0.390476190476191 0 3.99766666666667 1ZC5 TRUE
7 7000 0.428571428571429 0 3.99766666666667 1ZC5 TRUE
8 8000 0.428571428571429 4.57 3.99766666666667 1ZC5 FALSE
9 9000 0.428571428571429 0 1.861 1ZC5 TRUE
10 10000 0.428571428571429 0 1.861 1ZC5 TRUE
11 1000 0.0549450549450549 1.78 7.51666666666667 2LUN TRUE
12 2000 0.230769230769231 4.333 5.19966666666667 2LUN FALSE
13 3000 0.230769230769231 4.333 4.33666666666667 2LUN FALSE
14 4000 0.186813186813187 8.677 4.93 2LUN FALSE
15 5000 0.384615384615385 2.589 2.90066666666667 2LUN TRUE
16 6000 0.450549450549451 4.333 2.90066666666667 2LUN FALSE
17 7000 0.340659340659341 4.333 3.47666666666667 2LUN FALSE
18 8000 0.406593406593407 3.508 3.47666666666667 2LUN FALSE
19 9000 0.384615384615385 3.508 3.47666666666667 2LUN FALSE
20 10000 0.340659340659341 2.589 2.90066666666667 2LUN TRUE
21 1000 0.0256410256410256 0.963 1.44333333333333 2M4W TRUE
22 2000 -0.0256410256410256 0.963 1.44333333333333 2M4W TRUE
23 3000 0.0512820512820513 0.963 1.44333333333333 2M4W TRUE
24 4000 0.0256410256410256 0.963 3.174 2M4W TRUE
25 5000 0.0769230769230769 0.963 3.174 2M4W TRUE
26 6000 0.0769230769230769 0.963 3.174 2M4W TRUE
27 7000 0.0512820512820513 0.963 3.174 2M4W TRUE
28 8000 0.102564102564103 0.963 3.174 2M4W TRUE
29 9000 0.102564102564103 0.963 3.174 2M4W TRUE
30 10000 0.153846153846154 0.963 3.174 2M4W TRUE
31 1000 -0.0769230769230769 2.538 5.09366666666667 2MNC TRUE
32 2000 -0.208791208791209 6.611 5.25033333333333 2MNC FALSE
33 3000 -0.0220997848043932 6.611 5.08166666666667 2MNC FALSE
34 4000 0.032967032967033 7.108 5.76766666666667 2MNC FALSE
35 5000 -0.274725274725275 7.108 5.08166666666667 2MNC FALSE
36 6000 -0.265197417652718 5.635 6.45133333333333 2MNC FALSE
37 7000 -0.56043956043956 6.611 6.45133333333333 2MNC FALSE
38 8000 -0.287297202457111 7.108 3.80833333333333 2MNC FALSE
39 9000 -0.198898063239539 5.635 4.67133333333333 2MNC FALSE
40 10000 -0.362637362637363 7.108 5.44233333333333 2MNC FALSE
41 1000 -0.0857142857142857 3.122 9.11766666666667 2N6T FALSE
42 2000 -0.40952380952381 14.151 11.1703333333333 2N6T FALSE
43 3000 0.0285714285714286 6.16 5.74866666666667 2N6T FALSE
44 4000 -0.295238095238095 10.08 8.58666666666667 2N6T FALSE
45 5000 -0.104761904761905 3.122 5.79 2N6T FALSE
46 6000 -0.295238095238095 14.151 9.11766666666667 2N6T FALSE
47 7000 -0.180952380952381 14.151 7.811 2N6T FALSE
48 8000 -0.295238095238095 3.122 9.11766666666667 2N6T FALSE
49 9000 -0.219047619047619 3.122 8.43233333333333 2N6T FALSE
50 10000 -0.333333333333333 3.122 9.78933333333333 2N6T FALSE
51 1000 0.40952380952381 0 2.496 2M5U TRUE
52 2000 0.276190476190476 1.865 3.11766666666667 2M5U TRUE
53 3000 0.276190476190476 0.647 2.91233333333333 2M5U TRUE
54 4000 0.276190476190476 1.865 3.52566666666667 2M5U TRUE
55 5000 0.161904761904762 2.487 3.52566666666667 2M5U TRUE
56 6000 0.142857142857143 1.865 5.40666666666667 2M5U TRUE
57 7000 0.123809523809524 1.865 2.69666666666667 2M5U TRUE
58 8000 0.0476190476190476 6.225 5.40666666666667 2M5U FALSE
59 9000 0.0476190476190476 1.865 2.69666666666667 2M5U TRUE
60 10000 0.0666666666666667 0 2.69666666666667 2M5U TRUE
61 1000 0.219047619047619 5.078 2.70066666666667 2MXL FALSE
62 2000 0.295238095238095 0 2.341 2MXL TRUE
63 3000 0.180952380952381 0 6.49333333333333 2MXL TRUE
64 4000 0.333333333333333 0 2.95433333333333 2MXL TRUE
65 5000 0.257142857142857 0 3.28233333333333 2MXL TRUE
66 6000 -0.00952380952380952 0 6.49333333333333 2MXL TRUE
67 7000 -0.0285714285714286 0 6.16533333333333 2MXL TRUE
68 8000 0.161904761904762 0 2.95433333333333 2MXL TRUE
69 9000 0.142857142857143 0 3.105 2MXL TRUE
70 10000 0.2 0 3.105 2MXL TRUE
71 1000 0.161904761904762 7.19 12.3656666666667 2N6W FALSE
72 2000 0.352380952380952 18.516 7.11733333333333 2N6W FALSE
73 3000 0.142857142857143 2.836 8.63233333333333 2N6W TRUE
74 4000 0.276190476190476 18.516 7.658 2N6W FALSE
75 5000 0.276190476190476 1.622 10.98 2N6W TRUE
76 6000 0.257142857142857 18.516 9.514 2N6W FALSE
77 7000 0.485714285714286 1.622 7.658 2N6W TRUE
78 8000 0.447619047619048 2.836 7.658 2N6W TRUE
79 9000 0.257142857142857 18.516 10.493 2N6W FALSE
80 10000 0.390476190476191 2.836 4.86166666666667 2N6W TRUE
81 1000 -0.428571428571429 10.745 10.7486666666667 2NCI FALSE
82 2000 0.142857142857143 6.611 4.684 2NCI FALSE
83 3000 -0.230769230769231 7.441 5.00633333333333 2NCI FALSE
84 4000 -0.274725274725275 7.441 8.82666666666667 2NCI FALSE
85 5000 -0.208791208791209 7.441 6.062 2NCI FALSE
86 6000 -0.142857142857143 7.441 8.26566666666667 2NCI FALSE
87 7000 -0.120879120879121 10.745 6.062 2NCI FALSE
88 8000 -0.186813186813187 10.745 6.63266666666667 2NCI FALSE
89 9000 -0.0989010989010989 10.745 6.888 2NCI FALSE
90 10000 -0.274725274725275 7.441 9.91733333333333 2NCI FALSE
91 1000 0.295238095238095 0.734 1.91133333333333 1UUU TRUE
92 2000 0.352380952380952 0 1.91133333333333 1UUU TRUE
93 3000 0.504761904761905 0.734 1.91133333333333 1UUU TRUE
94 4000 0.504761904761905 0 1.91133333333333 1UUU TRUE
95 5000 0.485714285714286 0 1.91133333333333 1UUU TRUE
96 6000 0.447619047619048 0 1.91133333333333 1UUU TRUE
97 7000 0.523809523809524 0 1.91133333333333 1UUU TRUE
98 8000 0.428571428571429 0 1.91133333333333 1UUU TRUE
99 9000 0.447619047619048 0 1.91133333333333 1UUU TRUE
100 10000 0.352380952380952 0 1.91133333333333 1UUU TRUE
101 1000 -0.390476190476191 11.961 9.822 2JWV FALSE
102 2000 -0.504761904761905 12.883 11.9636666666667 2JWV FALSE
103 3000 -0.295238095238095 12.883 8.299 2JWV FALSE
104 4000 -0.295238095238095 6.458 8.299 2JWV FALSE
105 5000 -0.2 11.047 8.59766666666667 2JWV FALSE
106 6000 -0.2 8.288 8.59766666666667 2JWV FALSE
107 7000 -0.257142857142857 11.047 8.297 2JWV FALSE
108 8000 -0.257142857142857 5.556 9.82866666666667 2JWV FALSE
109 9000 -0.257142857142857 8.288 10.7393333333333 2JWV FALSE
110 10000 -0.219047619047619 8.288 8.297 2JWV FALSE
111 1000 0.0285714285714286 0 4.555 2M12 TRUE
112 2000 0.0476190476190476 0 3.80966666666667 2M12 TRUE
113 3000 0.219047619047619 0 3.80966666666667 2M12 TRUE
114 4000 0.219047619047619 0 5.71166666666667 2M12 TRUE
115 5000 0.257142857142857 0 4.04666666666667 2M12 TRUE
116 6000 0.104761904761905 0 3.80966666666667 2M12 TRUE
117 7000 0.238095238095238 0 4.04666666666667 2M12 TRUE
118 8000 0.219047619047619 0 4.04666666666667 2M12 TRUE
119 9000 0.238095238095238 0 4.04666666666667 2M12 TRUE
120 10000 0.2 0 5.71166666666667 2M12 TRUE
121 1000 -0.163636363636364 12.786 13.2113333333333 2M8K FALSE
122 2000 0.2 11.519 8.957 2M8K FALSE
123 3000 -0.163636363636364 12.786 13.2113333333333 2M8K FALSE
124 4000 -0.0545454545454545 12.786 11.2996666666667 2M8K FALSE
125 5000 -0.127272727272727 12.786 13.2113333333333 2M8K FALSE
126 6000 -0.163636363636364 12.786 13.2113333333333 2M8K FALSE
127 7000 0.0181818181818182 12.786 13.2113333333333 2M8K FALSE
128 8000 -0.127272727272727 12.786 14.0543333333333 2M8K FALSE
129 9000 0.0181818181818182 12.786 8.957 2M8K FALSE
130 10000 0.0181818181818182 11.519 13.2113333333333 2M8K FALSE
131 1000 0.2 6.494 5.764 2N2O FALSE
132 2000 0.428571428571429 2.881 3.98566666666667 2N2O TRUE
133 3000 0.142857142857143 2.881 5.764 2N2O TRUE
134 4000 0.219047619047619 2.881 4.87166666666667 2N2O TRUE
135 5000 0.40952380952381 2.881 3.682 2N2O TRUE
136 6000 0.314285714285714 2.881 3.98566666666667 2N2O TRUE
137 7000 0.371428571428571 2.881 3.682 2N2O TRUE
138 8000 0.352380952380952 2.881 4.39733333333333 2N2O TRUE
139 9000 0.295238095238095 2.881 4.87166666666667 2N2O TRUE
140 10000 0.2 2.881 5.764 2N2O TRUE
