iters cors rmsds mean_rmsd id status
10 10000 0.390476190476191 1.013 0.955 1ZC5 TRUE
20 10000 0.340659340659341 2.589 3.79266666666667 2LUN TRUE
30 10000 0.358974358974359 0.963 0.963 2M4W TRUE
40 10000 0.164835164835165 0 2.375 2MNC TRUE
50 10000 -0.0285714285714286 1.529 5.24566666666667 2N6T TRUE
60 10000 0.504761904761905 3.116 3.113 2M5U FALSE
70 10000 0.485714285714286 4.237 3.35866666666667 2MXL FALSE
80 10000 -0.40952380952381 12.802 17.0566666666667 2N6W FALSE
90 10000 0.274725274725275 0.967 4.20466666666667 2NCI TRUE
110 10000 0.371428571428571 10.112 3.69066666666667 2JWV FALSE
120 10000 -0.161904761904762 3.663 6.69166666666667 2M12 FALSE
130 10000 0.490909090909091 2.566 5.56 2M8K TRUE
140 10000 0.466666666666667 3.817 2.72166666666667 2N2O FALSE
150 10000 -0.0666666666666667 18.282 10.009 2N6X FALSE
160 10000 0.2 3.323 4.39933333333333 2QH2 FALSE
170 10000 0.0476190476190476 6.886 6.06766666666667 5A17 FALSE
180 10000 0.676190476190476 1.664 2.005 1XHP TRUE
190 10000 0.00952380952380952 8.027 5.785 2K66 FALSE
200 10000 0.0989010989010989 4.341 7.57633333333333 2LQZ FALSE
210 10000 0.333333333333333 1.335 2.52166666666667 2M21 TRUE
220 10000 0.238095238095238 6.916 2.56666666666667 2MEQ FALSE
230 10000 0.333333333333333 2.912 2.92766666666667 2N2P TRUE
240 10000 -0.2 10.16 6.27833333333333 2N7X FALSE
250 10000 0.542857142857143 0.661 1.09133333333333 2QH4 TRUE
260 10000 0.238095238095238 8.956 5.7 5A18 FALSE
270 10000 0.638095238095238 1.428 0.721333333333333 2M22 TRUE
280 10000 0.428571428571429 1.627 2.71333333333333 2MFD TRUE
290 10000 0.390476190476191 0 6.199 2N4L TRUE
300 10000 0.461538461538462 2.68 1.83266666666667 5KQE TRUE
310 10000 0.447619047619048 2.17 0.957333333333333 1KKA TRUE
330 10000 -0.104761904761905 11.727 9.01566666666667 2LI4 FALSE
340 10000 0.542857142857143 1.885 1.57066666666667 2LUB TRUE
350 10000 -0.0512820512820513 9.062 7.32933333333333 4A4S FALSE
360 10000 -0.428571428571429 9.953 8.76466666666667 1L1W FALSE
380 10000 0.657142857142857 0 0.693666666666667 2LBJ TRUE
390 10000 0.123809523809524 4.756 4.072 2LK3 FALSE
400 10000 -0.512820512820513 9.599 7.333 4A4T FALSE
420 10000 0.295238095238095 10.76 3.88766666666667 2FDT FALSE
430 10000 0.523809523809524 1.415 1.91066666666667 2LBL TRUE
440 10000 0.352380952380952 0.62 0.567 2LP9 TRUE
450 10000 0.657142857142857 0 1.8 2LV0 TRUE
460 10000 -0.205128205128205 9.347 8.62033333333333 4A4U FALSE
490 10000 0.447619047619048 0 0.627333333333333 2LPA TRUE
510 10000 0.0476190476190476 2.661 5.33966666666667 2LDT TRUE
550 10000 0.657142857142857 1.839 1.82233333333333 2LHP TRUE
560 10000 0.56043956043956 2.421 0.975333333333333 2Y95 TRUE
570 10000 0.428571428571429 4.431 2.06966666666667 1SCL FALSE
600 10000 0.219047619047619 2.091 3.77966666666667 2M24 TRUE
610 10000 0.527272727272727 0 1.412 2MHI TRUE
620 10000 -0.219047619047619 0 7.59466666666667 2N6S TRUE
