iters cors rmsds mean_rmsd id status
1 1000 0.714285714285714 0 0.955 1ZC5 TRUE
2 2000 0.619047619047619 0 0.955 1ZC5 TRUE
3 3000 0.466666666666667 0 0.955 1ZC5 TRUE
4 4000 0.580952380952381 1.013 0.955 1ZC5 TRUE
5 5000 0.428571428571429 1.013 1.264 1ZC5 TRUE
6 6000 0.371428571428571 1.013 0.955 1ZC5 TRUE
7 7000 0.561904761904762 0 0.955 1ZC5 TRUE
8 8000 0.40952380952381 0 0.955 1ZC5 TRUE
9 9000 0.447619047619048 1.013 0.955 1ZC5 TRUE
10 10000 0.390476190476191 1.013 0.955 1ZC5 TRUE
11 1000 0.318681318681319 7.009 3.79266666666667 2LUN FALSE
12 2000 0.340659340659341 7.009 3.79266666666667 2LUN FALSE
13 3000 0.340659340659341 7.009 3.79266666666667 2LUN FALSE
14 4000 0.296703296703297 7.009 3.79266666666667 2LUN FALSE
15 5000 0.340659340659341 2.589 3.79266666666667 2LUN TRUE
16 6000 0.318681318681319 2.589 3.79266666666667 2LUN TRUE
17 7000 0.318681318681319 2.589 3.79266666666667 2LUN TRUE
18 8000 0.340659340659341 2.589 3.79266666666667 2LUN TRUE
19 9000 0.340659340659341 2.589 3.79266666666667 2LUN TRUE
20 10000 0.340659340659341 2.589 3.79266666666667 2LUN TRUE
21 1000 0.230769230769231 0.963 0.963 2M4W TRUE
22 2000 0.256410256410256 0.963 1.787 2M4W TRUE
23 3000 0.282051282051282 0.963 0.963 2M4W TRUE
24 4000 0.333333333333333 0.963 0.963 2M4W TRUE
25 5000 0.333333333333333 0.963 0.963 2M4W TRUE
26 6000 0.333333333333333 0.963 0.963 2M4W TRUE
27 7000 0.384615384615385 0.963 0.963 2M4W TRUE
28 8000 0.358974358974359 0.963 0.963 2M4W TRUE
29 9000 0.333333333333333 0.963 1.787 2M4W TRUE
30 10000 0.358974358974359 0.963 0.963 2M4W TRUE
31 1000 0.0769230769230769 5.093 3.05866666666667 2MNC FALSE
32 2000 0.164835164835165 0 2.37633333333333 2MNC TRUE
33 3000 0.142857142857143 0 2.375 2MNC TRUE
34 4000 0.186813186813187 0 2.375 2MNC TRUE
35 5000 0.142857142857143 0 2.375 2MNC TRUE
36 6000 0.120879120879121 0 2.375 2MNC TRUE
37 7000 0.252747252747253 0 2.375 2MNC TRUE
38 8000 0.0769230769230769 0 2.375 2MNC TRUE
39 9000 0.0549450549450549 0 2.375 2MNC TRUE
40 10000 0.164835164835165 0 2.375 2MNC TRUE
41 1000 -0.161904761904762 3.122 8.11066666666667 2N6T FALSE
42 2000 -0.257142857142857 13.2 8.26966666666667 2N6T FALSE
43 3000 -0.0476190476190476 1.529 5.24566666666667 2N6T TRUE
44 4000 0.00952380952380952 1.529 5.24566666666667 2N6T TRUE
45 5000 -0.0285714285714286 1.529 5.24566666666667 2N6T TRUE
46 6000 0.161904761904762 0 1.55033333333333 2N6T TRUE
47 7000 0.123809523809524 0 1.55033333333333 2N6T TRUE
48 8000 0.142857142857143 0 1.55033333333333 2N6T TRUE
49 9000 0.142857142857143 0 1.55033333333333 2N6T TRUE
50 10000 -0.0285714285714286 1.529 5.24566666666667 2N6T TRUE
51 1000 0.276190476190476 4.358 3.113 2M5U FALSE
52 2000 0.485714285714286 4.358 3.113 2M5U FALSE
53 3000 0.352380952380952 4.358 3.113 2M5U FALSE
54 4000 0.447619047619048 4.358 3.113 2M5U FALSE
55 5000 0.40952380952381 3.116 3.113 2M5U FALSE
56 6000 0.428571428571429 3.116 3.113 2M5U FALSE
57 7000 0.447619047619048 4.358 3.113 2M5U FALSE
58 8000 0.447619047619048 3.116 3.113 2M5U FALSE
59 9000 0.40952380952381 3.116 3.113 2M5U FALSE
60 10000 0.504761904761905 3.116 3.113 2M5U FALSE
61 1000 0.390476190476191 5.839 3.60266666666667 2MXL FALSE
62 2000 0.542857142857143 0 2.30533333333333 2MXL TRUE
63 3000 0.428571428571429 4.237 3.35866666666667 2MXL FALSE
64 4000 0.523809523809524 0 2.95433333333333 2MXL TRUE
65 5000 0.638095238095238 3.024 2.77933333333333 2MXL FALSE
66 6000 0.447619047619048 0 3.35866666666667 2MXL TRUE
67 7000 0.371428571428571 0 3.35866666666667 2MXL TRUE
68 8000 0.485714285714286 3.024 2.42033333333333 2MXL FALSE
69 9000 0.390476190476191 0 3.35866666666667 2MXL TRUE
70 10000 0.485714285714286 4.237 3.35866666666667 2MXL FALSE
71 1000 -0.333333333333333 12.802 17.0566666666667 2N6W FALSE
72 2000 -0.485714285714286 12.802 17.0566666666667 2N6W FALSE
73 3000 -0.352380952380952 12.802 17.0566666666667 2N6W FALSE
74 4000 -0.371428571428571 12.802 17.0566666666667 2N6W FALSE
75 5000 -0.466666666666667 12.802 17.0566666666667 2N6W FALSE
76 6000 -0.428571428571429 12.802 17.0566666666667 2N6W FALSE
77 7000 -0.447619047619048 12.802 17.0566666666667 2N6W FALSE
78 8000 -0.352380952380952 12.802 17.0566666666667 2N6W FALSE
79 9000 -0.352380952380952 12.802 17.0566666666667 2N6W FALSE
80 10000 -0.40952380952381 12.802 17.0566666666667 2N6W FALSE
81 1000 0.384615384615385 0.967 4.20466666666667 2NCI TRUE
82 2000 0.318681318681319 0.967 4.20466666666667 2NCI TRUE
83 3000 0.296703296703297 0.967 5.332 2NCI TRUE
84 4000 0.296703296703297 0.967 4.20466666666667 2NCI TRUE
85 5000 0.274725274725275 0.967 5.332 2NCI TRUE
86 6000 0.274725274725275 0.967 5.332 2NCI TRUE
87 7000 0.296703296703297 0.967 4.20466666666667 2NCI TRUE
88 8000 0.252747252747253 0.967 5.332 2NCI TRUE
89 9000 0.252747252747253 0.967 5.332 2NCI TRUE
90 10000 0.274725274725275 0.967 4.20466666666667 2NCI TRUE
91 1000 0.523809523809524 0 0.869333333333333 1UUU TRUE
92 2000 0.6 0 0.869333333333333 1UUU TRUE
93 3000 0.619047619047619 0 0.869333333333333 1UUU TRUE
94 4000 0.6 0 0.869333333333333 1UUU TRUE
95 5000 0.619047619047619 0 0.869333333333333 1UUU TRUE
96 6000 0.580952380952381 0 0.869333333333333 1UUU TRUE
97 7000 0.6 0 0.869333333333333 1UUU TRUE
98 8000 0.619047619047619 0 0.662 1UUU TRUE
99 9000 0.638095238095238 0 0.662 1UUU TRUE
100 10000 0.638095238095238 0 0.662 1UUU TRUE
101 1000 0.485714285714286 0 3.69066666666667 2JWV TRUE
102 2000 0.390476190476191 0.96 3.69066666666667 2JWV TRUE
103 3000 0.352380952380952 0.96 3.69066666666667 2JWV TRUE
104 4000 0.352380952380952 10.112 3.69066666666667 2JWV FALSE
105 5000 0.352380952380952 10.112 3.69066666666667 2JWV FALSE
106 6000 0.390476190476191 0.96 3.69066666666667 2JWV TRUE
107 7000 0.352380952380952 0.96 3.69066666666667 2JWV TRUE
108 8000 0.390476190476191 0.96 3.69066666666667 2JWV TRUE
109 9000 0.371428571428571 10.112 3.69066666666667 2JWV FALSE
110 10000 0.371428571428571 10.112 3.69066666666667 2JWV FALSE
111 1000 0.0857142857142857 0 3.12233333333333 2M12 TRUE
112 2000 -0.257142857142857 3.663 4.555 2M12 FALSE
113 3000 -0.180952380952381 3.663 5.5 2M12 FALSE
114 4000 -0.2 7.133 5.264 2M12 FALSE
115 5000 -0.238095238095238 3.663 6.69166666666667 2M12 FALSE
116 6000 -0.0857142857142857 3.663 4.314 2M12 FALSE
117 7000 -0.238095238095238 3.663 6.69166666666667 2M12 FALSE
118 8000 -0.219047619047619 3.663 6.69166666666667 2M12 FALSE
119 9000 -0.2 3.663 6.69166666666667 2M12 FALSE
120 10000 -0.161904761904762 3.663 6.69166666666667 2M12 FALSE
121 1000 0.454545454545455 2.566 4.496 2M8K TRUE
122 2000 0.527272727272727 2.566 5.56 2M8K TRUE
123 3000 0.490909090909091 2.566 5.56 2M8K TRUE
124 4000 0.563636363636364 2.566 5.56 2M8K TRUE
125 5000 0.527272727272727 2.566 5.56 2M8K TRUE
