iters cors rmsds mean_rmsd id status
10 10000 0.447619047619048 1.013 0.955 1ZC5 TRUE
20 10000 0.186813186813187 8.677 6.67533333333333 2LUN FALSE
30 10000 0.282051282051282 0.963 0.963 2M4W TRUE
40 10000 0.0989010989010989 7.108 3.04666666666667 2MNC FALSE
50 10000 0.257142857142857 6.16 3.094 2N6T FALSE
60 10000 0.276190476190476 0.647 2.29066666666667 2M5U TRUE
70 10000 0.6 4.237 4.007 2MXL FALSE
80 10000 0.0476190476190476 2.836 4.35966666666667 2N6W TRUE
90 10000 0.362637362637363 1.712 0.893 2NCI TRUE
110 10000 -0.352380952380952 8.288 8.909 2JWV FALSE
120 10000 -0.142857142857143 10.002 8.32666666666667 2M12 FALSE
130 10000 0.163636363636364 12.786 8.31533333333333 2M8K FALSE
140 10000 0.40952380952381 4.348 2.371 2N2O FALSE
150 10000 0.104761904761905 9.902 9.39466666666667 2N6X FALSE
160 10000 0.0666666666666667 4.914 4.65933333333333 2QH2 FALSE
170 10000 -0.123809523809524 5.936 10.1626666666667 5A17 FALSE
180 10000 0.428571428571429 1.664 3.673 1XHP TRUE
190 10000 0.0666666666666667 8.027 5.56166666666667 2K66 FALSE
200 10000 -0.010989010989011 8.799 6.78166666666667 2LQZ FALSE
210 10000 -0.0666666666666667 2.486 5.613 2M21 TRUE
220 10000 0.0285714285714286 6.916 5.336 2MEQ FALSE
230 10000 0.257142857142857 5.177 6.111 2N2P FALSE
240 10000 0.447619047619048 0.781 2.18833333333333 2N7X TRUE
250 10000 0.371428571428571 1.956 3.921 2QH4 TRUE
260 10000 0.0857142857142857 1.989 4.67466666666667 5A18 TRUE
270 10000 0.123809523809524 1.428 3.81866666666667 2M22 TRUE
280 10000 -0.0476190476190476 1.627 2.71333333333333 2MFD TRUE
290 10000 0.523809523809524 0 1.239 2N4L TRUE
300 10000 -0.230769230769231 9.055 8.074 5KQE FALSE
310 10000 -0.0285714285714286 3.798 4.895 1KKA FALSE
330 10000 0.352380952380952 5.408 3.707 2LI4 FALSE
340 10000 0.542857142857143 1.277 4.00866666666667 2LUB TRUE
350 10000 -0.282051282051282 9.062 6.467 4A4S FALSE
360 10000 -0.295238095238095 9.074 9.06266666666667 1L1W FALSE
380 10000 0.352380952380952 1.764 3.54866666666667 2LBJ TRUE
390 10000 0.0285714285714286 4.756 4.99566666666667 2LK3 FALSE
400 10000 -0.205128205128205 4.12 6.404 4A4T FALSE
420 10000 0.2 1.795 2.09966666666667 2FDT TRUE
430 10000 0.333333333333333 2.463 3.098 2LBL TRUE
440 10000 0.295238095238095 0 0.567 2LP9 TRUE
450 10000 0.561904761904762 3.028 1.29766666666667 2LV0 FALSE
460 10000 -0.0769230769230769 10.052 7.66233333333333 4A4U FALSE
490 10000 0.0857142857142857 0 3.46333333333333 2LPA TRUE
510 10000 -0.257142857142857 2.661 5.754 2LDT TRUE
550 10000 0.257142857142857 1.839 6.304 2LHP TRUE
560 10000 0.604395604395604 0 1.29066666666667 2Y95 TRUE
570 10000 0.516483516483517 1.778 1.00866666666667 1SCL TRUE
600 10000 0.142857142857143 2.091 3.77966666666667 2M24 TRUE
610 10000 0.236363636363636 2.732 5.05666666666667 2MHI TRUE
620 10000 -0.0285714285714286 0 3.95533333333333 2N6S TRUE
