iters cors rmsds mean_rmsd id status
10 10000 0.580952380952381 1.013 2.209 1ZC5 TRUE
20 10000 0.516483516483517 2.589 4.34866666666667 2LUN TRUE
30 10000 0.153846153846154 3.916 2.588 2M4W FALSE
40 10000 -0.230769230769231 5.093 4.91666666666667 2MNC FALSE
50 10000 0.657142857142857 0 1.55033333333333 2N6T TRUE
60 10000 0.542857142857143 4.358 2.707 2M5U FALSE
70 10000 0.6 3.024 2.42033333333333 2MXL FALSE
80 10000 0.485714285714286 2.836 5.98633333333333 2N6W TRUE
90 10000 0.582417582417582 0.967 1.719 2NCI TRUE
110 10000 0.40952380952381 0 3.69066666666667 2JWV TRUE
120 10000 0.390476190476191 0 1.554 2M12 TRUE
130 10000 0.490909090909091 2.566 5.13766666666667 2M8K TRUE
140 10000 0.561904761904762 3.817 2.40133333333333 2N2O FALSE
150 10000 0.504761904761905 4.42 3.76766666666667 2N6X FALSE
160 10000 0.447619047619048 4.134 3.294 2QH2 FALSE
170 10000 0.0666666666666667 1.951 5.61033333333333 5A17 TRUE
180 10000 0.695238095238095 0 2.22266666666667 1XHP TRUE
190 10000 0.0666666666666667 0.679 2.902 2K66 TRUE
200 10000 0.384615384615385 0 2.15166666666667 2LQZ TRUE
210 10000 0.466666666666667 1.335 2.521 2M21 TRUE
220 10000 0.219047619047619 1.47 1.672 2MEQ TRUE
230 10000 0.382779501175476 5.871 2.64033333333333 2N2P FALSE
240 10000 0.326989210885231 1.447 1.20533333333333 2N7X TRUE
250 10000 0.478474376469346 7.194 2.61833333333333 2QH4 FALSE
260 10000 -0.00952380952380952 0 5.305 5A18 TRUE
270 10000 0.504761904761905 1.428 0.721333333333333 2M22 TRUE
280 10000 0.40952380952381 4.345 3.07433333333333 2MFD FALSE
290 10000 0.676190476190476 0 2.48733333333333 2N4L TRUE
300 10000 0.58974358974359 1.827 1.50233333333333 5KQE TRUE
310 10000 0.333333333333333 0 0.957333333333333 1KKA TRUE
330 10000 0.276190476190476 5.408 6.91433333333333 2LI4 FALSE
340 10000 0.638095238095238 5.046 2.31033333333333 2LUB FALSE
350 10000 0.0129034943523127 3.234 5.85433333333333 4A4S FALSE
360 10000 0.0476190476190476 8.161 6.34933333333333 1L1W FALSE
380 10000 0.638095238095238 0 1.19666666666667 2LBJ TRUE
390 10000 0.142857142857143 6.854 5.21533333333333 2LK3 FALSE
400 10000 0.230769230769231 2.742 5.964 4A4T TRUE
420 10000 0.542857142857143 0 3.88766666666667 2FDT TRUE
430 10000 0.657142857142857 0 1.05533333333333 2LBL TRUE
440 10000 -0.104761904761905 5.967 5.31066666666667 2LP9 FALSE
450 10000 0.771428571428572 0 0.792333333333333 2LV0 TRUE
460 10000 -0.153846153846154 3.588 6.70066666666667 4A4U FALSE
490 10000 0.466666666666667 0 0.475333333333333 2LPA TRUE
510 10000 0.466666666666667 7.146 5.33966666666667 2LDT FALSE
550 10000 0.6 0.93 0.923 2LHP TRUE
560 10000 0.67032967032967 0 0.975333333333333 2Y95 TRUE
570 10000 0.384615384615385 1.248 3.957 1SCL TRUE
600 10000 0.371428571428571 2.091 2.883 2M24 TRUE
610 10000 0.381818181818182 2.732 7.327 2MHI TRUE
620 10000 0.142857142857143 0.923 1.83333333333333 2N6S TRUE
