iters cors rmsds mean_rmsd id status
10 10000 0.504761904761905 0 0.955 1ZC5 TRUE
20 10000 0.230769230769231 8.677 6.369 2LUN FALSE
30 10000 0.333333333333333 1.444 0.963 2M4W TRUE
40 10000 0.010989010989011 7.108 4.424 2MNC FALSE
50 10000 0.219047619047619 6.16 5.447 2N6T FALSE
60 10000 0.219047619047619 0.647 3.53533333333333 2M5U TRUE
70 10000 0.619047619047619 4.237 2.06066666666667 2MXL FALSE
80 10000 0.238095238095238 2.836 4.35966666666667 2N6W TRUE
90 10000 0.340659340659341 0 5.00966666666667 2NCI TRUE
110 10000 -0.142857142857143 8.288 6.14966666666667 2JWV FALSE
120 10000 0.0476190476190476 10.002 8.32666666666667 2M12 FALSE
130 10000 0.309090909090909 2.566 5.56 2M8K TRUE
140 10000 0.504761904761905 4.348 2.371 2N2O FALSE
150 10000 -0.0857142857142857 9.902 12.079 2N6X FALSE
160 10000 0.219047619047619 4.914 4.65933333333333 2QH2 FALSE
170 10000 -0.123809523809524 13.754 10.1626666666667 5A17 FALSE
180 10000 0.542857142857143 1.664 3.673 1XHP TRUE
190 10000 0.104761904761905 8.027 4.701 2K66 FALSE
200 10000 -0.0549450549450549 8.799 6.78166666666667 2LQZ FALSE
210 10000 0.2 2.486 4.15266666666667 2M21 TRUE
220 10000 0.123809523809524 0.784 5.56033333333333 2MEQ TRUE
230 10000 0.466666666666667 2.05 4.366 2N2P TRUE
240 10000 0.466666666666667 0.781 2.18833333333333 2N7X TRUE
250 10000 0.466666666666667 2.613 1.523 2QH4 TRUE
260 10000 0.0857142857142857 1.989 5.34 5A18 TRUE
270 10000 -0.0857142857142857 4.295 3.81866666666667 2M22 FALSE
280 10000 -0.0476190476190476 1.627 2.71333333333333 2MFD TRUE
290 10000 0.523809523809524 2.478 1.239 2N4L TRUE
300 10000 0.102564102564103 2.68 8.074 5KQE TRUE
310 10000 -0.00952380952380952 3.798 4.534 1KKA FALSE
330 10000 0.161904761904762 5.408 6.36733333333333 2LI4 FALSE
340 10000 0.580952380952381 5.046 4.00866666666667 2LUB FALSE
350 10000 -0.230769230769231 7.105 6.68 4A4S FALSE
360 10000 -0.295238095238095 9.953 9.06266666666667 1L1W FALSE
380 10000 0.485714285714286 1.764 2.384 2LBJ TRUE
390 10000 0.0857142857142857 4.756 4.072 2LK3 FALSE
400 10000 -0.256410256410256 4.12 6.404 4A4T FALSE
420 10000 0.466666666666667 1.795 4.19633333333333 2FDT TRUE
430 10000 0.485714285714286 4.977 2.48 2LBL FALSE
440 10000 0.276190476190476 0 0.567 2LP9 TRUE
450 10000 0.504761904761905 3.028 1.29766666666667 2LV0 FALSE
460 10000 -0.230769230769231 9.347 7.66233333333333 4A4U FALSE
490 10000 0.238095238095238 0 1.236 2LPA TRUE
510 10000 -0.219047619047619 4.842 5.754 2LDT FALSE
550 10000 0.257142857142857 11.649 6.304 2LHP FALSE
560 10000 0.626373626373626 0 0.975333333333333 2Y95 TRUE
570 10000 0.626373626373626 1.778 1.00866666666667 1SCL TRUE
600 10000 0.00952380952380952 8.371 5.81366666666667 2M24 FALSE
610 10000 0.2 2.732 10.54 2MHI TRUE
620 10000 -0.123809523809524 0 7.59466666666667 2N6S TRUE
