iters cors rmsds mean_rmsd id status
10 10000 0.428571428571429 0 1.861 1ZC5 TRUE
20 10000 0.340659340659341 2.589 2.90066666666667 2LUN TRUE
30 10000 0.153846153846154 0.963 3.174 2M4W TRUE
40 10000 -0.362637362637363 7.108 5.44233333333333 2MNC FALSE
50 10000 -0.333333333333333 3.122 9.78933333333333 2N6T FALSE
60 10000 0.0666666666666667 0 2.69666666666667 2M5U TRUE
70 10000 0.2 0 3.105 2MXL TRUE
80 10000 0.390476190476191 2.836 4.86166666666667 2N6W TRUE
90 10000 -0.274725274725275 7.441 9.91733333333333 2NCI FALSE
110 10000 -0.219047619047619 8.288 8.297 2JWV FALSE
120 10000 0.2 0 5.71166666666667 2M12 TRUE
130 10000 0.0181818181818182 11.519 13.2113333333333 2M8K FALSE
140 10000 0.2 2.881 5.764 2N2O TRUE
150 10000 -0.276190476190476 9.902 14.092 2N6X FALSE
160 10000 0.314285714285714 4.914 4.101 2QH2 FALSE
170 10000 0.0857142857142857 13.754 8.16766666666667 5A17 FALSE
180 10000 0.0476190476190476 1.089 6.74833333333333 1XHP TRUE
190 10000 0.123809523809524 8.027 5.59066666666667 2K66 FALSE
200 10000 -0.164835164835165 5.604 6.51133333333333 2LQZ FALSE
210 10000 0.447619047619048 2.486 3.13166666666667 2M21 TRUE
220 10000 0.0285714285714286 8.981 6.44733333333333 2MEQ FALSE
230 10000 0.0857142857142857 2.05 3.137 2N2P TRUE
240 10000 -0.270559816637809 6.514 6.51666666666667 2N7X FALSE
250 10000 0.485714285714286 1.956 3.481 2QH4 TRUE
260 10000 -0.00952380952380952 1.989 9.63933333333333 5A18 TRUE
270 10000 -0.161904761904762 7.212 8.60733333333333 2M22 FALSE
280 10000 -0.0476190476190476 2.71 4.16433333333333 2MFD TRUE
290 10000 0.561904761904762 0 2.15533333333333 2N4L TRUE
300 10000 0.0256410256410256 10.703 8.06033333333333 5KQE FALSE
310 10000 0.390476190476191 1.628 1.266 1KKA TRUE
330 10000 0.447619047619048 2.707 3.40666666666667 2LI4 TRUE
340 10000 0.447619047619048 0 1.054 2LUB TRUE
350 10000 -0.256410256410256 9.062 7.14766666666667 4A4S FALSE
360 10000 -0.352380952380952 9.074 8.16733333333333 1L1W FALSE
380 10000 0.466666666666667 0.645 0.693666666666667 2LBJ TRUE
390 10000 -0.2 6.854 6.36566666666667 2LK3 FALSE
400 10000 0.256410256410256 4.12 4.81133333333333 4A4T FALSE
420 10000 0.390476190476191 4.504 2.09966666666667 2FDT FALSE
430 10000 0.0857142857142857 4.317 4.943 2LBL FALSE
440 10000 -0.104761904761905 5.967 4.95 2LP9 FALSE
450 10000 0.523809523809524 1.512 2.566 2LV0 TRUE
460 10000 -0.0256410256410256 3.588 7.66233333333333 4A4U FALSE
490 10000 -0.123809523809524 5.033 3.199 2LPA FALSE
510 10000 -0.314285714285714 10.664 7.11 2LDT FALSE
550 10000 0.104761904761905 0.93 3.60766666666667 2LHP TRUE
560 10000 0.0989010989010989 2.421 3.395 2Y95 TRUE
570 10000 0.296703296703297 1.248 1.894 1SCL TRUE
600 10000 0.2 4.935 4.69 2M24 FALSE
610 10000 -0.236363636363636 17.745 15.2306666666667 2MHI FALSE
620 10000 -0.0857142857142857 0.923 3.37766666666667 2N6S TRUE
