iters cors rmsds mean_rmsd id status
1 1000 0.657142857142857 0 0.955 1ZC5 TRUE
2 2000 0.657142857142857 0 0.955 1ZC5 TRUE
3 3000 0.504761904761905 0 0.955 1ZC5 TRUE
4 4000 0.619047619047619 0 0.955 1ZC5 TRUE
5 5000 0.428571428571429 1.013 2.209 1ZC5 TRUE
6 6000 0.523809523809524 0 0.955 1ZC5 TRUE
7 7000 0.695238095238095 0 0.955 1ZC5 TRUE
8 8000 0.504761904761905 0 0.955 1ZC5 TRUE
9 9000 0.466666666666667 1.013 0.955 1ZC5 TRUE
10 10000 0.504761904761905 0 0.955 1ZC5 TRUE
11 1000 0.274725274725275 1.78 6.09933333333333 2LUN TRUE
12 2000 0.252747252747253 8.677 4.92466666666667 2LUN FALSE
13 3000 0.208791208791209 8.677 6.67533333333333 2LUN FALSE
14 4000 0.230769230769231 8.677 6.67533333333333 2LUN FALSE
15 5000 0.252747252747253 8.677 6.67533333333333 2LUN FALSE
16 6000 0.252747252747253 8.677 6.67533333333333 2LUN FALSE
17 7000 0.208791208791209 8.677 6.67533333333333 2LUN FALSE
18 8000 0.252747252747253 8.677 6.67533333333333 2LUN FALSE
19 9000 0.230769230769231 8.677 6.67533333333333 2LUN FALSE
20 10000 0.208791208791209 8.677 6.67533333333333 2LUN FALSE
21 1000 0.230769230769231 0.963 0.963 2M4W TRUE
22 2000 0.179487179487179 0.963 0.963 2M4W TRUE
23 3000 0.179487179487179 0.963 0.963 2M4W TRUE
24 4000 0.205128205128205 0.963 0.963 2M4W TRUE
25 5000 0.179487179487179 0.963 0.963 2M4W TRUE
26 6000 0.179487179487179 0.963 0.963 2M4W TRUE
27 7000 0.230769230769231 0.963 0.963 2M4W TRUE
28 8000 0.256410256410256 0.963 0.963 2M4W TRUE
29 9000 0.205128205128205 0.963 0.963 2M4W TRUE
30 10000 0.230769230769231 0.963 0.963 2M4W TRUE
31 1000 0.120879120879121 7.108 3.55533333333333 2MNC FALSE
32 2000 0.0769230769230769 2.032 4.062 2MNC TRUE
33 3000 0.0769230769230769 7.108 3.04666666666667 2MNC FALSE
34 4000 0.032967032967033 7.108 3.04666666666667 2MNC FALSE
35 5000 0.010989010989011 7.108 3.04666666666667 2MNC FALSE
36 6000 -0.032967032967033 7.108 3.04666666666667 2MNC FALSE
37 7000 -0.0989010989010989 7.108 3.04666666666667 2MNC FALSE
38 8000 -0.032967032967033 7.108 3.04666666666667 2MNC FALSE
39 9000 -0.032967032967033 7.108 3.04666666666667 2MNC FALSE
40 10000 0.032967032967033 7.108 3.04666666666667 2MNC FALSE
41 1000 -0.180952380952381 7.059 7.10233333333333 2N6T FALSE
42 2000 0.00952380952380952 7.059 6.107 2N6T FALSE
43 3000 0.00952380952380952 7.059 6.107 2N6T FALSE
44 4000 0.0476190476190476 7.059 6.107 2N6T FALSE
45 5000 0.0476190476190476 7.059 6.107 2N6T FALSE
46 6000 0.0285714285714286 7.059 7.10233333333333 2N6T FALSE
47 7000 0.00952380952380952 7.059 7.10233333333333 2N6T FALSE
48 8000 -0.00952380952380952 7.059 6.107 2N6T FALSE
49 9000 0.00952380952380952 7.059 6.107 2N6T FALSE
50 10000 0.142857142857143 6.16 6.107 2N6T FALSE
51 1000 0.0857142857142857 6.225 4.14933333333333 2M5U FALSE
52 2000 0.142857142857143 4.358 4.14933333333333 2M5U FALSE
53 3000 0.0476190476190476 6.903 4.79233333333333 2M5U FALSE
54 4000 0.0666666666666667 6.903 4.99833333333333 2M5U FALSE
55 5000 -0.0285714285714286 3.734 5.62066666666667 2M5U FALSE
56 6000 -0.123809523809524 6.225 5.82866666666667 2M5U FALSE
57 7000 -0.123809523809524 6.225 4.99766666666667 2M5U FALSE
58 8000 -0.161904761904762 6.903 6.46366666666667 2M5U FALSE
59 9000 -0.161904761904762 6.903 4.99766666666667 2M5U FALSE
60 10000 0.0476190476190476 6.903 4.59166666666667 2M5U FALSE
61 1000 0.447619047619048 5.839 2.59466666666667 2MXL FALSE
62 2000 0.523809523809524 5.839 2.59466666666667 2MXL FALSE
63 3000 0.371428571428571 0 3.35866666666667 2MXL TRUE
64 4000 0.6 0 3.35866666666667 2MXL TRUE
65 5000 0.523809523809524 3.024 2.01533333333333 2MXL FALSE
66 6000 0.504761904761905 0 3.35866666666667 2MXL TRUE
67 7000 0.428571428571429 5.839 3.35866666666667 2MXL FALSE
68 8000 0.542857142857143 3.024 2.95433333333333 2MXL FALSE
69 9000 0.447619047619048 5.839 3.35866666666667 2MXL FALSE
70 10000 0.504761904761905 4.237 4.007 2MXL FALSE
71 1000 -0.295238095238095 18.516 15.174 2N6W FALSE
72 2000 -0.447619047619048 18.516 16.1116666666667 2N6W FALSE
73 3000 -0.371428571428571 18.516 15.174 2N6W FALSE
74 4000 -0.333333333333333 18.516 15.174 2N6W FALSE
75 5000 -0.428571428571429 18.516 15.174 2N6W FALSE
76 6000 -0.390476190476191 18.516 15.174 2N6W FALSE
77 7000 -0.390476190476191 18.516 15.174 2N6W FALSE
78 8000 -0.333333333333333 18.516 15.174 2N6W FALSE
79 9000 -0.352380952380952 18.516 15.174 2N6W FALSE
80 10000 -0.371428571428571 18.516 15.174 2N6W FALSE
81 1000 0.296703296703297 1.712 2.852 2NCI TRUE
82 2000 0.252747252747253 1.712 2.52966666666667 2NCI TRUE
83 3000 0.296703296703297 1.712 0.893 2NCI TRUE
84 4000 0.142857142857143 1.712 3.88233333333333 2NCI TRUE
85 5000 0.274725274725275 1.712 2.52966666666667 2NCI TRUE
86 6000 0.296703296703297 1.712 0.893 2NCI TRUE
87 7000 0.340659340659341 1.712 0.893 2NCI TRUE
88 8000 0.296703296703297 1.712 0.893 2NCI TRUE
89 9000 0.362637362637363 0 0.893 2NCI TRUE
90 10000 0.318681318681319 1.712 0.893 2NCI TRUE
91 1000 0.657142857142857 0 0.662 1UUU TRUE
92 2000 0.638095238095238 0 0.662 1UUU TRUE
93 3000 0.638095238095238 0 0.662 1UUU TRUE
94 4000 0.638095238095238 0 0.662 1UUU TRUE
95 5000 0.6 0.734 0.662 1UUU TRUE
96 6000 0.638095238095238 0.734 0.662 1UUU TRUE
97 7000 0.657142857142857 0.734 0.662 1UUU TRUE
98 8000 0.6 0.734 0.662 1UUU TRUE
99 9000 0.6 0.734 0.662 1UUU TRUE
100 10000 0.6 0.734 0.662 1UUU TRUE
101 1000 -0.333333333333333 8.288 6.76733333333333 2JWV FALSE
102 2000 -0.238095238095238 8.288 6.76733333333333 2JWV FALSE
103 3000 -0.238095238095238 8.288 6.76733333333333 2JWV FALSE
104 4000 -0.219047619047619 8.288 6.76733333333333 2JWV FALSE
105 5000 -0.295238095238095 8.288 6.76733333333333 2JWV FALSE
106 6000 -0.257142857142857 8.288 6.76733333333333 2JWV FALSE
107 7000 -0.257142857142857 8.288 6.76733333333333 2JWV FALSE
108 8000 -0.257142857142857 8.288 6.76733333333333 2JWV FALSE
109 9000 -0.276190476190476 8.288 6.76733333333333 2JWV FALSE
110 10000 -0.238095238095238 8.288 6.76733333333333 2JWV FALSE
111 1000 -0.0666666666666667 10.002 5.71166666666667 2M12 FALSE
112 2000 -0.40952380952381 10.002 8.80466666666667 2M12 FALSE
113 3000 -0.238095238095238 10.002 8.80466666666667 2M12 FALSE
114 4000 -0.2 7.133 6.04466666666667 2M12 FALSE
115 5000 -0.219047619047619 10.002 8.80466666666667 2M12 FALSE
116 6000 -0.2 10.002 8.80466666666667 2M12 FALSE
117 7000 -0.276190476190476 10.002 8.80466666666667 2M12 FALSE
118 8000 -0.257142857142857 10.002 8.80466666666667 2M12 FALSE
119 9000 -0.295238095238095 10.002 8.80466666666667 2M12 FALSE
120 10000 -0.238095238095238 10.002 8.80466666666667 2M12 FALSE
121 1000 0.381818181818182 2.566 8.31533333333333 2M8K TRUE
122 2000 0.309090909090909 2.566 5.56 2M8K TRUE
123 3000 0.309090909090909 2.566 8.31533333333333 2M8K TRUE
124 4000 0.381818181818182 2.566 8.31533333333333 2M8K TRUE
125 5000 0.381818181818182 2.566 8.31533333333333 2M8K TRUE
126 6000 0.309090909090909 2.566 8.31533333333333 2M8K TRUE
127 7000 0.345454545454545 2.566 5.56 2M8K TRUE
128 8000 0.381818181818182 2.566 5.56 2M8K TRUE
129 9000 0.454545454545455 2.566 5.56 2M8K TRUE
130 10000 0.418181818181818 2.566 5.56 2M8K TRUE
131 1000 0.257142857142857 5.973 2.91266666666667 2N2O FALSE
132 2000 0.352380952380952 1.535 2.67466666666667 2N2O TRUE
133 3000 0.371428571428571 1.535 2.371 2N2O TRUE
134 4000 0.371428571428571 1.535 2.371 2N2O TRUE
135 5000 0.371428571428571 1.535 2.371 2N2O TRUE
136 6000 0.40952380952381 1.535 2.371 2N2O TRUE
137 7000 0.40952380952381 1.535 2.371 2N2O TRUE
138 8000 0.428571428571429 1.535 2.371 2N2O TRUE
139 9000 0.390476190476191 1.535 2.371 2N2O TRUE
140 10000 0.371428571428571 1.535 2.67466666666667 2N2O TRUE
141 1000 -0.00952380952380952 8.053 9.872 2N6X FALSE
142 2000 -0.142857142857143 8.053 15.3516666666667 2N6X FALSE
143 3000 -0.123809523809524 19.72 13.2816666666667 2N6X FALSE
144 4000 0.0285714285714286 19.72 9.872 2N6X FALSE
145 5000 -0.00952380952380952 8.053 9.872 2N6X FALSE
146 6000 0.104761904761905 8.053 9.872 2N6X FALSE
147 7000 0.0476190476190476 8.053 6.59933333333333 2N6X FALSE
148 8000 0.0666666666666667 8.053 6.59933333333333 2N6X FALSE
149 9000 0.00952380952380952 18.282 10.009 2N6X FALSE
150 10000 0.104761904761905 18.282 6.70833333333333 2N6X FALSE
151 1000 0.0285714285714286 3.323 4.65933333333333 2QH2 FALSE
152 2000 -0.00952380952380952 3.323 6.302 2QH2 FALSE
153 3000 -0.00952380952380952 3.323 5.48633333333333 2QH2 FALSE
154 4000 0.0285714285714286 3.323 6.302 2QH2 FALSE
155 5000 0.0285714285714286 3.323 6.302 2QH2 FALSE
156 6000 0.0857142857142857 3.323 4.39933333333333 2QH2 FALSE
157 7000 0.0857142857142857 3.323 4.39933333333333 2QH2 FALSE
